policy,num_robots,width,height,root_seed,map_seed,spawn_seed,dynamics_seed,comms_seed,policy_seed,runner_policy_seed,map_name,requested_density,realized_density,free_cells,completed,final_coverage,ticks,max_ticks,ticks_to_50,ticks_to_90,ticks_to_95,ticks_to_100,successful_moves,wall_blocked,conflicts,redundancy,comms_enabled,comms_drop_prob,messages_attempted,messages_delivered,messages_dropped,bytes_attempted,bytes_delivered,bytes_dropped
coordinated_frontier_hungarian,4,10,10,4,367776961,3166742020,1587198119,759788228,1874364848,0,four_rooms,0.15,0.15,85,True,1.0,25,1500,6,19,21,25,100,0,0,0.6938775510204082,False,0.0,0,0,0,0,0,0
move_toward_frontier_astar,2,10,10,0,3757552657,673228719,3241444873,3685993406,2968811710,0,nested_rooms,0.31,0.31,69,False,0.13043478260869565,1500,1500,,,,,4,0,2996,0.047619047619047616,False,0.0,0,0,0,0,0,0
move_toward_frontier_astar,2,10,10,1,1641411168,1454127163,2749604155,3056722145,3964924996,0,nested_rooms,0.31,0.31,69,False,0.2028985507246377,1500,1500,,,,,8,0,2992,0.047619047619047616,False,0.0,0,0,0,0,0,0
move_toward_frontier_astar,2,10,10,2,2001025171,2240297063,1311118443,2854122131,3141116543,0,nested_rooms,0.31,0.31,69,False,0.4057971014492754,1500,1500,,,,,16,0,2984,0.04878048780487805,False,0.0,0,0,0,0,0,0
move_toward_frontier_astar,2,10,10,4,367776961,3166742020,1587198119,759788228,1874364848,0,nested_rooms,0.31,0.31,69,False,0.2028985507246377,1500,1500,,,,,10,0,2990,0.05555555555555555,False,0.0,0,0,0,0,0,0
move_toward_frontier_astar,2,10,10,3,819382448,1645421708,3451799802,118549108,2613022947,0,nested_rooms,0.31,0.31,69,False,0.7536231884057971,1500,1500,22,,,,80,0,2920,0.9866666666666667,False,0.0,0,0,0,0,0,0
move_toward_frontier_astar,4,10,10,0,3757552657,673228719,3241444873,3685993406,2968811710,0,nested_rooms,0.31,0.31,69,False,0.6811594202898551,1500,1500,4,,,,50,0,5950,0.6666666666666666,False,0.0,0,0,0,0,0,0
move_toward_frontier_astar,4,10,10,1,1641411168,1454127163,2749604155,3056722145,3964924996,0,nested_rooms,0.31,0.31,69,False,0.6376811594202898,1500,1500,4,,,,35,0,5965,0.3709677419354839,False,0.0,0,0,0,0,0,0
move_toward_frontier_astar,4,10,10,2,2001025171,2240297063,1311118443,2854122131,3141116543,0,nested_rooms,0.31,0.31,69,False,0.6811594202898551,1500,1500,6,,,,24,0,5976,0.07352941176470588,False,0.0,0,0,0,0,0,0
move_toward_unknown_bfs,2,10,10,0,3757552657,673228719,3241444873,3685993406,2968811710,0,nested_rooms,0.31,0.31,69,False,0.2318840579710145,1500,1500,,,,,20,0,2980,0.475,False,0.0,0,0,0,0,0,0
move_toward_unknown_bfs,2,10,10,1,1641411168,1454127163,2749604155,3056722145,3964924996,0,nested_rooms,0.31,0.31,69,False,0.2028985507246377,1500,1500,,,,,8,0,2992,0.047619047619047616,False,0.0,0,0,0,0,0,0
move_toward_unknown_bfs,2,10,10,2,2001025171,2240297063,1311118443,2854122131,3141116543,0,nested_rooms,0.31,0.31,69,False,0.7391304347826086,1500,1500,27,,,,62,0,2938,0.5945945945945946,False,0.0,0,0,0,0,0,0
move_toward_unknown_bfs,2,10,10,3,819382448,1645421708,3451799802,118549108,2613022947,0,nested_rooms,0.31,0.31,69,False,0.08695652173913043,1500,1500,,,,,0,0,3000,0.2857142857142857,False,0.0,0,0,0,0,0,0
move_toward_unknown_bfs,4,10,10,0,3757552657,673228719,3241444873,3685993406,2968811710,0,nested_rooms,0.31,0.31,69,True,1.0,57,1500,4,51,54,57,228,0,0,2.63,False,0.0,0,0,0,0,0,0
